广佛线	鹤洞	2
广佛线	西塱	2
广佛线	菊树	3
广佛线	龙溪	4
广佛线	金融高新区	3
广佛线	千灯湖	2
广佛线	礌岗	2
广佛线	南桂路	2
广佛线	桂城	2
广佛线	朝安	2
广佛线	普君北路	2
广佛线	祖庙	3
广佛线	同济路	2
广佛线	季华园	3
广佛线	魁奇路	2
广佛线	澜石	4
广佛线	世纪莲	1
广佛线	东平	2
广佛线	新城东	-1
